"Ticker","Exchange","Name","TickerID","Currency","Sector","Industry","Last Updated"
"ICOS","NASDAQ ","ICOS Corporation","J99C0W-R","USD","Health Technology","Pharmaceuticals: Other","2007-01-29"
"PCYC","NASDAQ ","Pharmacyclics, Inc.","D54GVF-R","USD","Health Technology","Pharmaceuticals: Major","2015-05-26"
"MWIV","NASDAQ ","MWI Veterinary Supply, Inc.","GRV425-R","USD","Distribution Services","Medical Distributors","2015-02-24"
"THRY","NASDAQ ","Thryv Holdings, Inc.","J878GC-R","USD","Commercial Services","Advertising/Marketing Services","2023-02-28"
"MACK","NASDAQ ","Merrimack Pharmaceuticals, Inc.","VHTJ1C-R","USD","Health Technology","Pharmaceuticals: Major","2023-02-28"
"CHMT.XX1","NYSE   ","Chemtura Corporation","XFK8S6-R","USD","Process Industries","Chemicals: Specialty","2017-04-20"
"UCO.XX9","NYSE   ","Universal Compression Hldgs Com","C8RCJP-R","USD","Distribution Services","Wholesale Distributors","2007-08-20"
"MSO","NYSE   ","Martha Stewart Living Omnimedia, Inc.","P5GKPS-R","USD","Consumer Services","Publishing: Books/Magazines","2015-12-04"
"MGY","NYSE   ","Magnolia Oil & Gas Corp. Class A","KGN4R0-R","USD","Energy Minerals","Oil & Gas Production","2023-02-28"
"ABG","NYSE   ","Asbury Automotive Group, Inc.","TR8N0D-R","USD","Retail Trade","Specialty Stores","2023-02-28"
"COMM","NASDAQ ","CommScope Holding Co., Inc.","WX2GPZ-R","USD","Electronic Technology","Telecommunications Equipment","2023-02-28"
"SII","NYSE   ","Sprott Inc.","MXVP2N-R","USD","Finance","Investment Banks/Brokers","2023-02-28"
"KORE","NYSE   ","KORE Group Holdings, Inc.","CH2S84-R","USD","Technology Services","Information Technology Services","2023-02-28"
"AIRM","NASDAQ ","Air Methods Corporation","HWZS8S-R","USD","Transportation","Airlines","2017-04-21"
"WCBO","NASDAQ ","West Coast Bancorp (Oregon)","D65GWG-R","USD","Finance","Regional Banks","2013-04-01"
"FDC.XX2","NYSE   ","First Data Corp.","NW7K6C-R","USD","Finance","Regional Banks","2007-09-24"
"BILL","NYSE   ","BILL Holdings, Inc.","J9DNL7-R","USD","Technology Services","Packaged Software","2023-02-28"
"RLGT","ASE    ","Radiant Logistics, Inc.","LHP2V6-R","USD","Transportation","Air Freight/Couriers","2023-02-28"
"INDI","NASDAQ ","indie Semiconductor, Inc. Class A","BMG0B5-R","USD","Electronic Technology","Semiconductors","2023-02-28"
"LOPE","NASDAQ ","Grand Canyon Education, Inc.","DCZY5Y-R","USD","Commercial Services","Miscellaneous Commercial Services","2023-02-28"
"MFC","NYSE   ","Manulife Financial Corporation","KZKM7G-R","USD","Finance","Multi-Line Insurance","2023-02-28"
"IDXX","NASDAQ ","IDEXX Laboratories, Inc.","NFMPMG-R","USD","Health Technology","Medical Specialties","2023-02-28"
"RIVN","NASDAQ ","Rivian Automotive, Inc. Class A","G7RF6F-R","USD","Consumer Durables","Motor Vehicles","2023-02-28"
"BKW","NYSE   ","Burger King Worldwide, Inc.","B12HXG-R","USD","Consumer Services","Restaurants","2014-12-12"
"GWH","NYSE   ","ESS Tech Inc","LNQY7N-R","USD","Producer Manufacturing","Electrical Products","2023-02-28"
"BBSI","NASDAQ ","Barrett Business Services, Inc.","HXZN4R-R","USD","Commercial Services","Personnel Services","2023-02-28"
"BID","NYSE   ","Sotheby's","Q0G0WP-R","USD","Commercial Services","Miscellaneous Commercial Services","2019-10-02"
"SVC","NASDAQ ","Service Properties Trust","PFD89C-R","USD","Finance","Real Estate Investment Trusts","2023-02-28"
"ORMP","NASDAQ ","Oramed Pharmaceuticals Inc.","S1167H-R","USD","Health Technology","Pharmaceuticals: Major","2023-02-28"
"AGTI","NYSE   ","Agiliti, Inc.","DVDJBG-R","USD","Consumer Services","Other Consumer Services","2023-02-28"
"CAMP","NASDAQ ","CalAmp Corp.","B3DWZD-R","USD","Electronic Technology","Telecommunications Equipment","2023-02-28"
"WOLF","NYSE   ","Wolfspeed Inc","QH6KJ2-R","USD","Electronic Technology","Semiconductors","2023-02-28"
"AXP","NYSE   ","American Express Company","MVLTQZ-R","USD","Finance","Finance/Rental/Leasing","2023-02-28"
"DNBK","NASDAQ ","Danvers Bancorp, Inc.","XD50CQ-R","USD","Finance","Savings Banks","2011-06-30"
"ANAC.XX1","NASDAQ ","Anacor Pharmaceuticals, Inc.","Q8SFWB-R","USD","Health Technology","Pharmaceuticals: Major","2016-06-24"
